Latitude	Longitude	Collisions	Street 1	Street 2
34.0595	-118.3762	53	LA CIENEGA BL	OLYMPIC BL
34.1112	-118.3358	59	HIGHLAND AV	ODIN ST
34.2503	-118.5024	65	BALBOA BL	LASSEN ST
34.0596	-118.2749	61	ALVARADO ST	6TH ST
34.117	-118.2717	67	LOS FELIZ BL	RIVERSIDE DR
34.2048	-118.4488	64	VAN NUYS BL	VALERIO ST
34.0212	-118.2805	56	FIGUEROA ST	JEFFERSON BL
34.201	-118.571	52	WINNETKA AV	SHERMAN WY
34.1939	-118.4749	63	VANOWEN ST	HASKELL AV
34.2573	-118.5798	70	MASON AV	DEVONSHIRE ST
34.1664	-118.5883	92	VENTURA BL	DE SOTO AV
34.0598	-118.2916	65	VERMONT AV	7TH ST
33.9602	-118.2651	66	MANCHESTER AV	AVALON BL
34.2214	-118.4677	76	ROSCOE BL	SEPULVEDA BL
34.0326	-118.3363	55	ADAMS BL	CRENSHAW BL
34.1594	-118.4487	52	VAN NUYS BL	RIVERSIDE DR
34.1609	-118.5098	91	VENTURA BL	LOUISE AV
34.0835	-118.3386	64	HIGHLAND AV	MELROSE AV
34.2012	-118.5273	92	SHERMAN WY	LINDLEY AV
34.2793	-118.5021	100	BALBOA BL	RINALDI ST
34.0277	-118.2574	52	WASHINGTON BL	SAN PEDRO ST
34.2084	-118.536	81	RESEDA BL	SATICOY ST
34.25	-118.5886	53	LASSEN ST	DE SOTO AV
33.9746	-118.309	116	FLORENCE AV	WESTERN AV
34.0174	-118.3089	56	WESTERN AV	EXPOSITION BL
34.1867	-118.4052	90	VICTORY BL	WHITSETT AV
34.2645	-118.5361	67	RESEDA BL	CHATSWORTH ST
34.0037	-118.2915	56	VERMONT AV	VERNON AV
34.2198	-118.5975	73	ROSCOE BL	CANOGA AV
34.0285	-118.3898	62	VENICE BL	NATIONAL BL
33.994	-118.4526	53	VENICE BL	LINCOLN BL
34.2012	-118.4138	89	SHERMAN WY	COLDWATER CANYON AV
33.9455	-118.3785	75	CENTURY BL	AVIATION BL
